,date,money,number_race,racer_1_ID,racer_1_age,racer_1_ave_st,racer_1_bo,racer_1_doub,racer_1_male,racer_1_mo,racer_1_rank,racer_2_ID,racer_2_age,racer_2_ave_st,racer_2_bo,racer_2_doub,racer_2_male,racer_2_mo,racer_2_rank,racer_3_ID,racer_3_age,racer_3_ave_st,racer_3_bo,racer_3_doub,racer_3_male,racer_3_mo,racer_3_rank,racer_4_ID,racer_4_age,racer_4_ave_st,racer_4_bo,racer_4_doub,racer_4_male,racer_4_mo,racer_4_rank,racer_5_ID,racer_5_age,racer_5_ave_st,racer_5_bo,racer_5_doub,racer_5_male,racer_5_mo,racer_5_rank,racer_6_ID,racer_6_age,racer_6_ave_st,racer_6_bo,racer_6_doub,racer_6_male,racer_6_mo,racer_6_rank,result_com
,2017-04-01,1480.0,11,3833,43.0,0.13,66.0,0.506,1,71.0,4,4258,34.0,0.2,36.0,0.32299999999999995,1,52.0,2,4469,30.0,0.17,38.0,0.34600000000000003,1,48.0,2,4464,31.0,0.16,47.0,0.389,0,47.0,3,4215,33.0,0.16,33.0,0.371,1,28.0,3,4120,36.0,0.17,69.0,0.428,1,74.0,3,4
,2017-04-01,1790.0,12,3349,49.0,0.15,51.0,0.601,1,59.0,4,3984,40.0,0.16,58.0,0.526,1,51.0,4,3782,41.0,0.16,53.0,0.43,1,38.0,3,4190,36.0,0.16,49.0,0.552,0,32.0,4,3283,50.0,0.18,75.0,0.256,1,17.0,2,4122,36.0,0.15,54.0,0.38299999999999995,1,63.0,3,10
,2017-04-04,1530.0,1,4397,31.0,0.17,58.0,0.483,1,69.0,4,4055,39.0,0.12,36.0,0.461,1,50.0,4,4061,38.0,0.14,67.0,0.612,1,23.0,4,4043,38.0,0.16,18.0,0.514,1,54.0,4,4172,35.0,0.15,72.0,0.365,1,72.0,3,4659,26.0,0.13,69.0,0.528,1,70.0,4,4
,2017-04-04,5820.0,2,4503,29.0,0.14,34.0,0.528,1,48.0,4,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,3841,41.0,0.14,24.0,0.5,1,47.0,4,3946,41.0,0.15,71.0,0.511,1,21.0,4,4044,38.0,0.16,51.0,0.5589999999999999,1,73.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,14
,2017-04-04,10210.0,3,4460,31.0,0.14,75.0,0.528,1,32.0,4,3484,46.0,0.15,66.0,0.552,1,15.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,4235,33.0,0.18,26.0,0.428,1,51.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,3960,39.0,0.11,64.0,0.41600000000000004,1,33.0,4,27
,2017-04-04,15860.0,4,3555,45.0,0.16,50.0,0.496,1,66.0,4,4320,32.0,0.14,73.0,0.593,1,64.0,4,4171,35.0,0.16,54.0,0.491,1,75.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,4287,33.0,0.14,37.0,0.564,1,11.0,4,66
,2017-04-04,1180.0,5,4292,32.0,0.17,49.0,0.33,1,65.0,2,3966,38.0,0.17,56.0,0.496,1,31.0,4,3941,39.0,0.14,31.0,0.508,1,40.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,1
,2017-04-04,1540.0,7,4256,34.0,0.14,38.0,0.4,1,71.0,4,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,4460,31.0,0.14,75.0,0.528,1,32.0,4,4659,26.0,0.13,69.0,0.528,1,70.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,1
,2017-04-04,4420.0,8,4174,35.0,0.16,48.0,0.511,1,44.0,4,4364,32.0,0.15,20.0,0.5,1,27.0,4,4172,35.0,0.15,72.0,0.365,1,72.0,3,3960,39.0,0.11,64.0,0.41600000000000004,1,33.0,4,3555,45.0,0.16,50.0,0.496,1,66.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,64
,2017-04-04,2890.0,9,3946,41.0,0.15,71.0,0.511,1,21.0,4,3777,42.0,0.16,47.0,0.521,1,60.0,4,4320,32.0,0.14,73.0,0.593,1,64.0,4,3966,38.0,0.17,56.0,0.496,1,31.0,4,4566,30.0,0.16,15.0,0.512,1,35.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,3
,2017-04-04,850.0,10,4044,38.0,0.16,51.0,0.5589999999999999,1,73.0,4,4171,35.0,0.16,54.0,0.491,1,75.0,4,3484,46.0,0.15,66.0,0.552,1,15.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,2
,2017-04-04,790.0,11,4024,40.0,0.11,25.0,0.511,1,53.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,2
,2017-04-04,46440.0,12,3779,42.0,0.12,11.0,0.503,1,25.0,4,3388,48.0,0.16,44.0,0.568,1,74.0,4,4205,35.0,0.13,23.0,0.489,1,28.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,4238,33.0,0.15,32.0,0.48,1,38.0,4,3783,41.0,0.18,55.0,0.705,1,39.0,3,96
,2017-04-05,1680.0,1,3841,41.0,0.14,24.0,0.5,1,47.0,4,4235,33.0,0.18,26.0,0.428,1,51.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,4171,35.0,0.16,54.0,0.491,1,75.0,4,3946,41.0,0.15,71.0,0.511,1,21.0,4,8
,2017-04-05,26200.0,3,4061,38.0,0.14,67.0,0.612,1,23.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,3388,48.0,0.16,44.0,0.568,1,74.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,28
,2017-04-05,1210.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,4024,40.0,0.11,25.0,0.511,1,53.0,4,3555,45.0,0.16,50.0,0.496,1,66.0,4,3777,42.0,0.16,47.0,0.521,1,60.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,1
,2017-04-05,760.0,5,3484,46.0,0.15,66.0,0.552,1,15.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,3783,41.0,0.18,55.0,0.705,1,39.0,3,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,4460,31.0,0.14,75.0,0.528,1,32.0,4,1
,2017-04-05,6370.0,7,4043,38.0,0.16,18.0,0.514,1,54.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,4659,26.0,0.13,69.0,0.528,1,70.0,4,3779,42.0,0.12,11.0,0.503,1,25.0,4,102
,2017-04-05,70280.0,8,3422,46.0,0.16,46.0,0.491,1,16.0,4,4205,35.0,0.13,23.0,0.489,1,52.0,4,3777,42.0,0.16,47.0,0.521,1,60.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,72
,2017-04-05,37810.0,10,3388,48.0,0.16,44.0,0.568,1,74.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,82
,2017-04-05,1130.0,11,4238,33.0,0.15,32.0,0.48,1,38.0,4,4287,33.0,0.14,37.0,0.564,1,41.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,3841,41.0,0.14,24.0,0.5,1,47.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,1
,2017-04-06,1780.0,1,4264,33.0,0.17,22.0,0.452,1,45.0,4,4659,26.0,0.13,69.0,0.528,1,70.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,4460,31.0,0.14,75.0,0.528,1,32.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,3
,2017-04-06,6280.0,2,3777,42.0,0.16,47.0,0.521,1,60.0,4,4566,30.0,0.16,15.0,0.512,1,35.0,4,4308,34.0,0.15,13.0,0.467,1,62.0,4,4364,32.0,0.15,20.0,0.5,1,27.0,4,3388,48.0,0.16,44.0,0.568,1,74.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,22
,2017-04-06,1100.0,3,4235,33.0,0.18,26.0,0.428,1,51.0,4,4061,38.0,0.14,67.0,0.612,1,23.0,4,3555,45.0,0.16,50.0,0.496,1,66.0,4,3779,42.0,0.12,11.0,0.503,1,25.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,4043,38.0,0.16,18.0,0.514,1,54.0,4,2
,2017-04-06,8160.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,3960,39.0,0.11,64.0,0.41600000000000004,1,33.0,4,4171,35.0,0.16,54.0,0.491,1,75.0,4,12
,2017-04-06,710.0,5,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,4238,33.0,0.15,32.0,0.48,1,38.0,4,4055,39.0,0.12,36.0,0.461,1,59.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,2
,2017-04-06,18180.0,6,4364,32.0,0.15,20.0,0.5,1,27.0,4,4024,40.0,0.11,25.0,0.511,1,53.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,3946,41.0,0.15,71.0,0.511,1,21.0,4,3966,38.0,0.17,56.0,0.496,1,31.0,4,82
,2017-04-06,1540.0,7,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,4320,32.0,0.14,73.0,0.593,1,64.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,4061,38.0,0.14,67.0,0.612,1,23.0,4,9
,2017-04-06,30150.0,8,4073,36.0,0.16,60.0,0.526,1,30.0,4,3779,42.0,0.12,11.0,0.503,1,25.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,3484,46.0,0.15,66.0,0.552,1,15.0,4,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,39
,2017-04-06,6220.0,9,4352,31.0,0.13,21.0,0.513,1,17.0,4,4043,38.0,0.16,18.0,0.514,1,54.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,3783,41.0,0.18,55.0,0.705,1,39.0,3,4460,31.0,0.14,75.0,0.528,1,32.0,4,4308,34.0,0.15,13.0,0.467,1,62.0,4,16
,2017-04-06,2530.0,10,4205,35.0,0.13,23.0,0.489,1,52.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,4024,40.0,0.11,25.0,0.511,1,53.0,4,4235,33.0,0.18,26.0,0.428,1,51.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,8
,2017-04-06,3330.0,12,4320,32.0,0.14,73.0,0.593,1,64.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,3946,41.0,0.15,71.0,0.511,1,21.0,4,3484,46.0,0.15,66.0,0.552,1,15.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,4044,38.0,0.16,51.0,0.5589999999999999,1,73.0,4,12
,2017-04-07,1570.0,1,4171,35.0,0.16,54.0,0.491,1,75.0,4,3555,45.0,0.16,50.0,0.496,1,66.0,4,4352,31.0,0.13,21.0,0.513,1,17.0,4,4061,38.0,0.14,67.0,0.612,1,23.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,10
,2017-04-07,1360.0,2,4063,38.0,0.13,76.0,0.613,1,57.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,4055,39.0,0.12,36.0,0.461,1,59.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,3388,48.0,0.16,44.0,0.568,1,74.0,4,1
,2017-04-07,680.0,3,4659,26.0,0.13,69.0,0.528,1,70.0,4,3841,41.0,0.14,24.0,0.5,1,47.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,4205,35.0,0.13,23.0,0.489,1,52.0,4,4043,38.0,0.16,18.0,0.514,1,54.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,2
,2017-04-07,3170.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,3779,42.0,0.12,11.0,0.503,1,25.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,8
,2017-04-07,2450.0,5,4297,35.0,0.12,43.0,0.495,1,67.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,3966,38.0,0.17,56.0,0.496,1,31.0,4,4238,33.0,0.15,32.0,0.48,1,38.0,4,9
,2017-04-07,8840.0,6,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,4044,38.0,0.16,51.0,0.5589999999999999,1,73.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,4352,31.0,0.13,21.0,0.513,1,17.0,4,3777,42.0,0.16,47.0,0.521,1,60.0,4,52
,2017-04-07,3880.0,7,4308,34.0,0.15,13.0,0.467,1,62.0,4,4460,31.0,0.14,75.0,0.528,1,32.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,4024,40.0,0.11,25.0,0.511,1,53.0,4,17
,2017-04-07,1800.0,8,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,3388,48.0,0.16,44.0,0.568,1,74.0,4,4171,35.0,0.16,54.0,0.491,1,75.0,4,3783,41.0,0.18,55.0,0.705,1,39.0,3,4364,32.0,0.15,20.0,0.5,1,27.0,4,1
,2017-04-07,2210.0,10,4477,30.0,0.16,65.0,0.48,1,12.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,3777,42.0,0.16,47.0,0.521,1,60.0,4,4320,32.0,0.14,73.0,0.593,1,64.0,4,4235,33.0,0.18,26.0,0.428,1,51.0,4,2
,2017-04-07,2890.0,11,3960,39.0,0.11,64.0,0.41600000000000004,1,33.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,3966,38.0,0.17,56.0,0.496,1,31.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,4205,35.0,0.13,23.0,0.489,1,52.0,4,3484,46.0,0.15,66.0,0.552,1,15.0,4,11
,2017-04-07,2190.0,12,3783,41.0,0.18,55.0,0.705,1,39.0,3,3946,41.0,0.15,71.0,0.511,1,21.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,4044,38.0,0.16,51.0,0.5589999999999999,1,73.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,3841,41.0,0.14,24.0,0.5,1,47.0,4,10
,2017-04-08,1450.0,1,4096,36.0,0.15,63.0,0.451,1,56.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,3966,38.0,0.17,56.0,0.496,1,31.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,6
,2017-04-08,1670.0,2,4256,34.0,0.14,38.0,0.4,1,71.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,4235,33.0,0.18,26.0,0.428,1,51.0,4,2
,2017-04-08,2410.0,3,3952,41.0,0.15,68.0,0.564,1,36.0,4,4364,32.0,0.15,20.0,0.5,1,27.0,4,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,4055,39.0,0.12,36.0,0.461,1,59.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,4460,31.0,0.14,75.0,0.528,1,32.0,4,12
,2017-04-08,13710.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,4352,31.0,0.13,21.0,0.513,1,17.0,4,4061,38.0,0.14,67.0,0.612,1,23.0,4,4043,38.0,0.16,18.0,0.514,1,54.0,4,49
,2017-04-08,1550.0,5,3422,46.0,0.16,46.0,0.491,1,16.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,3388,48.0,0.16,44.0,0.568,1,74.0,4,4025,40.0,0.16,45.0,0.5539999999999999,1,26.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,8
,2017-04-08,55800.0,6,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,3966,38.0,0.17,56.0,0.496,1,31.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,4364,32.0,0.15,20.0,0.5,1,27.0,4,47
,2017-04-08,92160.0,7,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,4235,33.0,0.18,26.0,0.428,1,51.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,38
,2017-04-08,1630.0,8,4055,39.0,0.12,36.0,0.461,1,59.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,3388,48.0,0.16,44.0,0.568,1,74.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,5
,2017-04-08,630.0,9,4352,31.0,0.13,21.0,0.513,1,17.0,4,4460,31.0,0.14,75.0,0.528,1,32.0,4,4063,38.0,0.13,76.0,0.613,1,57.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,1
,2017-04-08,620.0,11,4044,38.0,0.16,51.0,0.5589999999999999,1,73.0,4,3783,41.0,0.18,55.0,0.705,1,39.0,3,4659,26.0,0.13,69.0,0.528,1,70.0,4,4566,30.0,0.16,15.0,0.512,1,35.0,4,3960,39.0,0.11,64.0,0.41600000000000004,1,33.0,4,4171,35.0,0.16,54.0,0.491,1,75.0,4,1
,2017-04-08,770.0,12,3779,42.0,0.12,11.0,0.503,1,25.0,4,4320,32.0,0.14,73.0,0.593,1,64.0,4,3841,41.0,0.14,24.0,0.5,1,47.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,4308,34.0,0.15,13.0,0.467,1,62.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,3
,2017-04-09,4250.0,1,4171,35.0,0.16,54.0,0.491,1,75.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,4364,32.0,0.15,20.0,0.5,1,27.0,4,4073,36.0,0.16,60.0,0.526,1,30.0,4,4043,38.0,0.16,18.0,0.514,1,54.0,4,21
,2017-04-09,5890.0,2,4566,30.0,0.16,15.0,0.512,1,35.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,4297,35.0,0.12,43.0,0.495,1,67.0,4,4061,38.0,0.14,67.0,0.612,1,23.0,4,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,4397,31.0,0.17,58.0,0.483,1,69.0,4,61
,2017-04-09,1050.0,3,4308,34.0,0.15,13.0,0.467,1,62.0,4,4174,35.0,0.16,48.0,0.511,1,44.0,4,3422,46.0,0.16,46.0,0.491,1,16.0,4,4096,36.0,0.15,63.0,0.451,1,56.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,3898,41.0,0.16,74.0,0.515,1,55.0,4,2
,2017-04-09,960.0,4,3942,39.0,0.15,16.0,0.608,1,24.0,4,4070,37.0,0.14,27.0,0.6409999999999999,1,20.0,4,3952,41.0,0.15,68.0,0.564,1,36.0,4,4292,32.0,0.17,49.0,0.33,1,65.0,2,4063,38.0,0.13,76.0,0.613,1,57.0,4,4659,26.0,0.13,69.0,0.528,1,70.0,4,2
,2017-04-09,780.0,5,3946,41.0,0.15,71.0,0.511,1,37.0,4,3484,46.0,0.15,66.0,0.552,1,34.0,4,4460,31.0,0.14,75.0,0.528,1,32.0,4,3874,41.0,0.18,19.0,0.5670000000000001,1,18.0,4,4352,31.0,0.13,21.0,0.513,1,17.0,4,4075,36.0,0.15,61.0,0.47600000000000003,1,61.0,4,1
,2017-04-09,1470.0,6,4205,35.0,0.13,23.0,0.489,1,52.0,4,3983,40.0,0.15,17.0,0.49200000000000005,1,76.0,4,4364,32.0,0.15,20.0,0.5,1,27.0,4,4366,32.0,0.15,28.0,0.598,1,63.0,4,4477,30.0,0.16,65.0,0.48,1,12.0,4,4055,39.0,0.12,36.0,0.461,1,59.0,4,6
,2017-04-09,1420.0,7,3960,39.0,0.11,64.0,0.41600000000000004,1,33.0,4,3841,41.0,0.14,24.0,0.5,1,47.0,4,4264,33.0,0.17,22.0,0.452,1,45.0,4,4503,29.0,0.14,34.0,0.528,1,58.0,4,4237,34.0,0.17,14.0,0.47200000000000003,1,29.0,4,4256,34.0,0.14,38.0,0.4,1,71.0,4,6
